#z_cmb mb dmb
0.338143 22.8206 0.17305
0.29921 22.6189 0.15295
0.24 21.9342 0.1522
0.366383 23.2802 0.1624
0.325127 23.0166 0.15415
0.281955 22.18855 0.1588
0.147914 20.08825 0.1083
0.248454 21.9984 0.1153
0.230461 21.70345 0.1614
0.186615 20.95825 0.1411
0.226551 21.54425 0.1708
0.172603 20.59295 0.11275
0.215742 21.2869 0.11615
0.232758 21.66825 0.11865
0.264176 22.19585 0.1342
0.264814 21.8702 0.1604
0.258721 21.98165 0.1223
0.386714 23.3169 0.11795
0.242952 22.0192 0.15495
0.337757 22.84675 0.1182
0.268182 22.0067 0.1243
0.121443 19.7944 0.1038
0.151967 20.54675 0.14915
0.146445 20.22 0.11585
0.21289 21.2356 0.1242
0.257543 22.23255 0.2533
0.324059 22.6131 0.1463
0.241815 21.9169 0.137
0.341581 22.9578 0.1518
0.27531 22.18215 0.1306
0.270547 22.13805 0.26375
0.153633 20.474 0.12575
0.182833 20.75105 0.12225
0.123845 19.8422 0.13225
0.23411 21.68485 0.12015
0.288109 22.12805 0.15365
0.222262 21.43725 0.1358
0.231691 21.5859 0.13495
0.208786 21.2319 0.12955
0.333738 22.9717 0.1963
0.233863 21.64295 0.1129
0.278489 22.28245 0.126
0.165693 20.6442 0.1223
0.0835861 18.75805 0.1103
0.323392 22.9261 0.1649
0.249018 21.831 0.11675
0.320537 22.70965 0.15
0.248578 21.7726 0.15595
0.206903 21.3572 0.14225
0.0666505 18.15745 0.1192
0.153554 20.426 0.1593
0.252778 21.91315 0.151
0.108822 19.37365 0.11495
0.200077 21.1135 0.14315
0.138273 20.16235 0.167
0.229839 21.99485 0.16045
0.27999 22.11805 0.14095
0.226276 21.4687 0.1649
0.24722 21.6655 0.17245
0.234004 21.6995 0.13305
0.222068 21.46645 0.1395
0.300141 22.4792 0.1471
0.152305 20.481 0.1699
0.159374 20.50025 0.1605
0.199032 21.19025 0.14705
0.290413 22.48095 0.19045
0.194497 20.85675 0.13015
0.252325 21.8791 0.16625
0.0659443 18.48435 0.29975
0.25676 21.9593 0.1626
0.248459 21.98705 0.15615
0.0520878 17.60185 0.1165
0.297551 22.37855 0.1425
0.0968208 19.19495 0.1111
0.222032 21.2265 0.12315
0.245585 21.91925 0.1384
0.250897 21.74575 0.1129
0.225347 21.30595 0.15955
0.305835 22.4238 0.13695
0.19427 21.09055 0.1118
0.315542 22.75035 0.16435
0.106696 19.33475 0.1245
0.352914 23.34415 0.1462
0.291559 22.6089 0.1289
0.211655 21.34225 0.14435
0.0474013 17.35275 0.13525
0.291438 22.5817 0.15385
0.0686325 18.2355 0.1566
0.241511 22.0816 0.21085
0.295427 22.16135 0.152
0.295913 22.49015 0.2331
0.305001 22.46285 0.19185
0.324507 22.68865 0.17225
0.166528 20.66375 0.13595
0.231614 21.81235 0.1445
0.224926 21.4412 0.13835
0.236175 21.58775 0.1462
0.228157 21.7291 0.123
0.252884 21.88335 0.13905
0.274626 22.21555 0.1463
0.082232 18.72405 0.11685
0.310678 22.6586 0.15475
0.315256 22.8011 0.14725
0.546691 25.73935 0.3352
0.570815 25.6034 0.1484
0.606299 25.9072 0.21065
0.607843 26.00705 0.18565
0.62963 26.0592 0.2832
0.642857 26.2011 0.18795
0.693252 26.877 0.2548
0.656829 26.1609 0.2559
0.565217 25.52015 0.17875
0.57265 25.4652 0.1632
0.50495 24.88235 0.1657
0.423631 23.70605 0.134
0.528302 25.0639 0.1649
0.55157 25.28615 0.19155
0.55157 25.4985 0.17085
0.460626 24.3128 0.21455
0.578059 25.5159 0.1622
0.493722 24.7061 0.13985
0.492386 25.11545 0.26175
0.425287 23.8446 0.12605
0.58159 25.36305 0.20125
0.566161 25.2642 0.235
0.483204 24.2666 0.1658
0.503476 24.85445 0.2291
0.568035 25.54235 0.1987
0.521989 24.63835 0.26405
