#z_cmb mb dmb
0.411474 23.88895 0.1728
0.271933 22.11185 0.1039
0.460329 24.3052 0.1508
0.376271 23.58805 0.1429
0.34825 22.9223 0.1289
0.285959 22.2601 0.1151
0.270871 22.20135 0.10745
0.456519 24.0253 0.15175
0.347591 23.059 0.11385
0.482469 24.704 0.21015
0.356421 23.2838 0.1242
0.457153 24.3261 0.1858
0.421186 23.8687 0.19785
0.306783 22.67285 0.1137
0.220279 21.5746 0.1073
0.341936 23.03865 0.109
0.514752 24.6873 0.16415
0.211661 21.24725 0.1051
0.20032 21.1763 0.1114
0.411127 23.7924 0.2171
0.422005 23.7684 0.19115
0.499452 24.6122 0.0953
0.290508 22.451 0.10895
0.112523 19.5429 0.11965
0.203676 21.3344 0.1818
0.0813805 18.64345 0.10605
0.105402 19.19345 0.0991
0.155091 20.2951 0.1284
0.12323 19.871 0.11635
0.131726 19.7933 0.10325
0.0859232 18.889 0.10285
0.222582 21.6827 0.1504
0.208347 21.3576 0.14295
0.12409 19.79675 0.1047
0.138325 19.9329 0.1156
0.109449 19.3948 0.11665
0.112058 19.36855 0.113
0.14771 20.15345 0.09925
0.141248 20.03175 0.1083
0.138065 19.92285 0.11045
0.19671 20.86815 0.1298
0.19875 20.98175 0.13435
0.215754 21.37075 0.15505
0.248205 21.9321 0.1589
0.248516 21.82885 0.1481
0.138228 19.98615 0.10955
0.179393 20.87005 0.13435
0.107183 19.36835 0.1021
0.151233 20.72835 0.1286
0.218139 21.50115 0.13265
0.156559 20.48365 0.1298
0.0622744 17.9881 0.1134
0.204892 21.2775 0.14285
0.21842 21.2773 0.1398
0.209798 21.0609 0.1301
0.155961 20.37525 0.1056
0.0540604 17.65695 0.1072
0.245858 21.6733 0.1464
0.098303 19.1721 0.10285
0.168738 20.7001 0.1382
0.275094 22.13745 0.1395
0.174904 20.68915 0.12295
0.175781 20.78295 0.1364
0.125821 19.83575 0.113
0.201393 21.1678 0.16095
0.204081 21.2758 0.1749
0.179386 20.976 0.1685
0.0730699 18.5397 0.12205
0.0768776 18.7438 0.11605
0.145358 20.2489 0.107
0.19122 20.87655 0.14325
0.23394 21.3803 0.19765
0.0765196 18.5179 0.1055
0.158992 20.2039 0.1187
0.0754609 18.511 0.10425
0.203986 21.2564 0.16145
0.112145 19.58525 0.13485
0.0932173 19.16175 0.1443
0.110637 19.4784 0.1006
0.270089 22.46065 0.1636
0.167998 20.38595 0.11475
0.152571 20.68245 0.14335
0.139141 20.1359 0.1299
0.184632 20.8771 0.141
0.228687 21.4449 0.1446
0.199994 21.20115 0.13305
0.129405 19.91815 0.1063
0.128244 19.776 0.10335
0.176887 21.20185 0.1483
0.126348 19.8106 0.13965
0.116811 19.9293 0.1333
0.179992 21.00055 0.1346
0.277702 22.40575 0.14945
0.148356 20.3461 0.1115
0.150902 20.20345 0.1224
0.230242 21.51975 0.1301
0.106105 19.44875 0.1339
0.150274 20.2397 0.106
0.196955 21.3752 0.1882
0.16381 20.54825 0.11935
0.198923 21.09655 0.1326
0.234403 21.77705 0.16135
0.197535 21.1569 0.13055
0.119152 19.9671 0.1135
0.173745 20.6402 0.1335
0.190958 21.1547 0.12315
0.151327 20.37535 0.1134
0.180617 20.81795 0.15445
0.239359 21.8201 0.1572
0.155833 20.55175 0.1118
0.207041 21.2036 0.13865
0.153418 20.21145 0.10535
0.275378 22.03255 0.1506
0.155833 20.38765 0.1082
0.17235 20.65465 0.12075
0.150714 20.33625 0.12905
0.239862 21.7168 0.15355
0.199705 21.1676 0.1247
0.168911 20.6509 0.11955
0.109901 19.4198 0.10285
0.168842 20.64385 0.12035
0.133088 20.1226 0.10495
0.250364 21.9349 0.1592
0.163754 20.5286 0.1151
0.199635 21.0769 0.14445
0.134124 20.0251 0.1063
0.135135 19.98785 0.12595
0.136584 19.81685 0.12375
0.236058 21.8114 0.19685
0.198898 21.1261 0.1388
0.156004 20.31575 0.1235
0.15507 20.5074 0.1247
0.154062 20.37965 0.13765
0.150202 20.28545 0.129
0.150729 20.0718 0.12115
0.0669901 18.0121 0.1254
0.121234 19.66285 0.10475
0.144868 20.46515 0.1317
0.196961 20.7198 0.14705
0.12592 19.81665 0.10485
0.201042 21.2338 0.1462
0.0360795 16.7708 0.1166
0.217013 21.8807 0.2055
0.223072 21.2668 0.1491
0.165589 20.61015 0.13895
0.138161 20.07605 0.129
0.173916 21.0136 0.15075
0.191939 21.0147 0.1316
0.134192 20.14265 0.11795
0.0858397 18.94955 0.14945
0.132344 20.08555 0.11355
0.204411 21.2741 0.1446
0.175128 20.80065 0.1303
0.197322 20.88445 0.13085
0.12033 19.76485 0.11075
0.245448 21.9051 0.1809
0.0961923 19.09035 0.10245
0.286122 22.30585 0.1602
0.159028 20.4864 0.13035
0.164794 20.4352 0.1122
0.113342 19.5616 0.132
0.109457 19.44025 0.1033
0.112586 19.59325 0.10365
0.175672 20.67635 0.1429
0.174066 20.727 0.12695
0.211518 21.4883 0.15275
0.169649 20.66435 0.12435
0.212543 21.2859 0.12695
0.194601 20.98075 0.15175
0.225287 21.236 0.14645
0.260934 21.81675 0.1515
0.221844 21.60225 0.15435
0.179851 20.6719 0.1534
0.149204 20.24765 0.1249
0.190395 20.9929 0.1458
0.132682 19.99965 0.1096
0.173431 20.90475 0.1584
0.225533 21.51945 0.1501
0.238693 21.8225 0.14945
0.120276 19.7402 0.1138
0.22799 21.7708 0.1925
0.232946 21.49625 0.135
0.170345 20.73155 0.1351
0.108536 19.34125 0.09805
0.148385 20.2369 0.11045
0.199116 21.2028 0.13995
0.196981 21.1159 0.14105
0.121389 19.8495 0.1169
0.195417 21.02795 0.1175
0.195087 21.18455 0.15195
0.239179 21.3618 0.137
0.215932 21.4485 0.153
0.230793 21.4204 0.15885
0.178544 20.89395 0.15665
0.168821 20.5734 0.12555
0.159699 20.4061 0.1552
0.224824 21.3714 0.15315
0.185641 20.83435 0.15045
0.236828 21.45975 0.15795
0.120585 20.12265 0.11415
0.0808655 18.6796 0.1066
0.0786297 18.62285 0.1057
0.159833 20.6486 0.11825
0.0849027 18.8576 0.109
0.11419 19.58985 0.12795
0.207205 21.1668 0.15835
0.20718 21.4559 0.17885
0.16367 20.61715 0.12925
0.128335 19.83975 0.1218
0.174604 21.14485 0.1818
0.152341 20.30175 0.11325
0.160158 20.6928 0.11925
0.252895 21.7897 0.1618
0.105241 19.41925 0.10595
0.223928 21.5295 0.1639
0.208717 21.2679 0.15695
0.199558 21.38165 0.1409
0.186588 20.8794 0.1271
0.0789777 18.608 0.10035
0.216491 21.62545 0.19055
0.265597 22.1744 0.1645
0.230805 21.62535 0.16525
0.104416 19.38465 0.1036
0.134004 19.83105 0.1045
0.200064 21.2982 0.13225
0.200952 21.209 0.1266
0.114582 19.5471 0.1075
0.236023 21.72385 0.1693
0.229934 21.66705 0.1633
0.212952 21.3419 0.169
0.226712 21.57975 0.1437
0.159579 20.46505 0.1185
0.110067 19.4023 0.1022
0.238165 21.63085 0.14295
0.235941 21.83605 0.15525
0.168358 20.60265 0.13765
0.174502 20.6247 0.1276
0.151608 20.4025 0.1152
0.23264 21.872 0.13765
0.176494 20.8217 0.1308
0.242464 21.6956 0.1358
0.178921 20.9318 0.14225
0.0699664 18.2988 0.10185
0.204708 21.37115 0.15
0.155733 20.3647 0.13065
0.104256 19.29475 0.10185
0.0608653 17.87655 0.1109
0.0933652 19.16045 0.103
